fitsfile,center_ra,center_dec,radius,overlaps
P149+47_mosaic-blanked.fits,149.01638820688373,47.07361666503782,3.0418653789319547,P145+45_mosaic-blanked.fits;P145+47_mosaic-blanked.fits;P146+42_mosaic-blanked.fits;P146+50_mosaic-blanked.fits;P147+52_mosaic-blanked.fits;P148+45_mosaic-blanked.fits;P149+42_mosaic-blanked.fits;P150+50_mosaic-blanked.fits;P152+45_mosaic-blanked.fits;P152+47_mosaic-blanked.fits
P225+45_mosaic-blanked.fits,225.54941100317512,44.97481666515298,3.0699969968461875,P221+45_mosaic-blanked.fits;P221+47_mosaic-blanked.fits;P223+42_mosaic-blanked.fits;P223+50_mosaic-blanked.fits;P225+47_mosaic-blanked.fits;P226+42_mosaic-blanked.fits;P227+50_mosaic-blanked.fits;P229+45_mosaic-blanked.fits;P229+48_mosaic-blanked.fits;P230+42_mosaic-blanked.fits
P243+50_mosaic-blanked.fits,243.23935043755156,50.09941666485476,2.618744972140299,P239+50_mosaic-blanked.fits;P240+48_mosaic-blanked.fits;P240+53_mosaic-blanked.fits;P241+55_mosaic-blanked.fits;P243+45_mosaic-blanked.fits;P244+48_mosaic-blanked.fits;P244+53_mosaic-blanked.fits
P335+26_mosaic-blanked.fits,335.91353760314985,25.696716665937657,2.8447342093271253,
P152+45_mosaic-blanked.fits,152.60341498135958,44.583516665173526,3.0418653789319547,P148+45_mosaic-blanked.fits;P149+42_mosaic-blanked.fits;P149+47_mosaic-blanked.fits;P150+50_mosaic-blanked.fits;P152+47_mosaic-blanked.fits;P153+42_mosaic-blanked.fits;P154+50_mosaic-blanked.fits;P156+42_mosaic-blanked.fits;P156+45_mosaic-blanked.fits;P156+47_mosaic-blanked.fits
P20Hetdex17_mosaic-blanked.fits,183.1634072914753,45.332816665133954,2.9199957728692856,P17_mosaic-blanked.fits;P181+42_mosaic-blanked.fits;P184+42_mosaic-blanked.fits;P188+42_mosaic-blanked.fits;P19Hetdex17_mosaic-blanked.fits;P22Hetdex04_mosaic-blanked.fits;P23Hetdex20_mosaic-blanked.fits;P24Hetdex20_mosaic-blanked.fits
P177+42_mosaic-blanked.fits,177.80243748334703,42.20731666529259,3.0968711782965386,P13Hetdex12_mosaic-blanked.fits;P15Hetdex13_mosaic-blanked.fits;P174+42_mosaic-blanked.fits;P17_mosaic-blanked.fits;P181+42_mosaic-blanked.fits
P240+45_mosaic-blanked.fits,240.20141010963184,45.06161666514838,2.9349959944445203,P236+45_mosaic-blanked.fits;P236+48_mosaic-blanked.fits;P237+43_mosaic-blanked.fits;P239+50_mosaic-blanked.fits;P240+43_mosaic-blanked.fits;P240+48_mosaic-blanked.fits;P243+45_mosaic-blanked.fits;P244+48_mosaic-blanked.fits
P153+42_mosaic-blanked.fits,153.3614386309187,42.078016665298804,2.8281231957086472,P148+45_mosaic-blanked.fits;P149+42_mosaic-blanked.fits;P152+45_mosaic-blanked.fits;P152+47_mosaic-blanked.fits;P156+42_mosaic-blanked.fits;P156+45_mosaic-blanked.fits
P219+50_mosaic-blanked.fits,219.0563523619264,49.95691666486389,3.0931193647532425,P213+47_mosaic-blanked.fits;P214+52_mosaic-blanked.fits;P215+50_mosaic-blanked.fits;P217+47_mosaic-blanked.fits;P218+45_mosaic-blanked.fits;P218+55_mosaic-blanked.fits;P219+52_mosaic-blanked.fits;P221+45_mosaic-blanked.fits;P221+47_mosaic-blanked.fits;P223+50_mosaic-blanked.fits;P223+52_mosaic-blanked.fits
