label,total_pixels,x_pixels,y_pixels,integrated_intensity,brightest_pixel,brightest_pixel_x,brightest_pixel_y,brightest_pixel_RA,brightest_pixel_DEC,center_of_mass_x,center_of_mass_y,center_of_mass_RA,center_of_mass_DEC,center_of_gaus_fit_x,center_of_gaus_fit_y,center_of_gaus_fit_RA,center_of_gaus_fit_DEC,fit_x_axis,fit_y_axis,fit_theta,deconv_x,deconv_y,integrated_intensity_fit,ratio_residual,mosaic,comp
P160+55_2170,20,5,8,0.19167121330348205,0.000332981000180527,2003,7352,162.4234578449491,55.587823908293906,2004.0908313652121,7351.986969946177,162.42265350392532,55.587833159976384,2003.619545882277,7351.827363870102,162.42299703457385,55.5877603426375,1.8202755548698135,1.1186114747791969,0.17025559868870754,1.5405869370158185,0.0,0.18940915488830126,0.2372502185213007,P160+55,2170
P160+57_2491,33,7,7,0.3401620430984398,0.00034069702809952015,2110,2086,162.30306501849446,56.02861760297619,2110.7764012541793,2087.271441904194,162.30251363158985,56.02915673131657,2110.766073529711,2087.3804304701957,162.30252368117704,56.02920200691392,1.6827857642641115,2.6630437594265244,-0.5523784516475925,0.0,4.829627402755569,0.3513750075037247,0.13742025037116218,P160+57,2491
P160+55_2501,32,6,7,0.3996203950179398,0.000527345820797747,2198,8404,162.3037878587135,56.02858187159951,2198.6972931329024,8403.319674686372,162.30325225655497,56.028307346849175,2198.6514850641142,8403.247104276508,162.30328472255616,56.028276531013404,2.116444206255564,1.5858619993116534,-0.6251008201509878,2.9729973742063667,0.0,0.4080214713618933,0.07070901953776867,P160+55,2501
P160+57_5855,104,13,11,1.9594862605109395,0.0011361484798683029,3846,660,160.99781451278378,55.44862761038743,3844.076369405635,661.3571782179432,160.9992376692463,55.44918517221246,3844.018422805552,661.5225240834545,160.99928145342648,55.44925384800147,2.8466189924243044,2.509334692275752,-1.9791677900477889,5.379024255873903,4.3493280906978455,1.990431436859324,0.058184759680094685,P160+57,5855
P160+55_5469,34,7,7,0.4858829541353197,0.0007297426271979518,3931,6975,160.99843467042137,55.4485527022945,3931.1642356260213,6975.090835013279,160.99831482455102,55.44859137280475,3931.151441461947,6975.188519742921,160.99832509381397,55.44863201164179,1.5461960754547206,1.7448434670543953,-0.7384213930070262,0.0,0.9392415841622098,0.4998273172771704,0.07016547291520601,P160+55,5469
P160+57_6439,107,10,13,3.953270171645935,0.002809669380816209,4091,1721,160.8236501523572,55.89175419457611,4092.137127563424,1718.717180272809,160.8227925374206,55.89080641124572,4092.199308796507,1718.7218031069312,160.82274636174796,55.89080853464239,2.853570322656604,1.9819255706502927,0.1375391838822759,5.399409550356653,2.404499455683853,3.99430807247046,0.031218238875904587,P160+57,6439
P160+55_6003,18,3,9,0.1877343438828576,0.0003155035577657651,4180,8034,160.82299595509002,55.89096309894153,4182.707868290596,8032.747413020428,160.82097502574655,55.890451808262995,4182.0,8032.0,160.8214956213092,55.89013753040317,3.0,1.841461928875874,0.08515646978842717,5.822937145489041,1.6743945466603332,0.19341822470878492,0.250846269606656,P160+55,6003
P160+57_7182,34,6,7,0.5304025750198225,0.0008038749788582878,4434,3058,160.57264194336992,56.449740624266745,4434.190000694603,3057.7986464319843,160.5724981083047,56.44965703162162,4434.291816285612,3057.835524893765,160.57242145633666,56.44967256516877,1.8161980252651813,1.5107880914969047,0.13318060668911436,1.5136661353679703,0.0,0.5395929797803073,0.03782606959990868,P160+57,7182
P160+55_6753,18,4,5,0.2659851558543356,0.0006352928615880152,4525,9373,160.5726791260081,56.45017088216814,4526.123903594402,9372.400321284267,160.57182905055154,56.4499236820639,4526.215481247965,9372.348265244917,160.57175977078742,56.4499022084064,1.7305836672717414,1.122138198165875,0.4424995516618458,0.7793342583045536,0.0,0.2685410920415897,0.029620311531800787,P160+55,6753
P160+57_8548,35,6,9,0.39672145217556,0.00043651808693172766,5140,3240,160.03984423671298,56.52558529924432,5140.063927696719,3240.859140218981,160.03979343822257,56.52594319077017,5137.0,3240.111428643581,160.0421101854895,56.52563657092465,6.0,1.5080270953164887,0.273499104938402,13.550881447391687,0.0,0.3988262321583161,0.20374115240120624,P160+57,8548
